topic,depth2
원전,재해
지진,재해
한파,재해
홍수,재해
폭발,재해
실종,재해
폭설,재해
폭우,재해
화산,재해
정전,재해
기후,재해
재난,재해
기상,재해
전쟁,전쟁
침공,전쟁
내전,전쟁
전장,전쟁
종전,전쟁
공습,전쟁
공격,전쟁
미사일,전쟁
시위,전쟁
보복,전쟁
발발,전쟁
러시아군,전쟁
병력,전쟁
반군,전쟁
파괴,전쟁
냉전,전쟁
가스전,전쟁
군사,전쟁
전면전,전쟁
직격탄,전쟁
비핵화,전쟁
싸움,전쟁
탱크,전쟁
붕괴,전쟁
미국,국가
중국,국가
러시아,국가
일본,국가
칠레,국가
아프리카,국가
인도,국가
파키스탄,국가
그리스,국가
북한,국가
대만,국가
뉴질랜드,국가
이집트,국가
인민공화국,국가
이탈리아,국가
아메리카,국가
폴란드,국가
소련,국가
벨라루스,국가
네덜란드,국가
베네수엘라,국가
우크라이나,국가
페루,국가
한국,국가
아시아,국가
남미,국가
스위스,국가
스페인,국가
미주,국가
베트남,국가
케냐,국가
차이나,국가
독일,국가
동남아,국가
사우디,국가
호주,국가
아르헨티나,국가
에티오피아,국가
인도네시아,국가
나이지리아,국가
터키,국가
페루,국가
재팬,국가
중남미,국가
리비아,국가
쿠웨이트,국가
멕시코,국가
오스트리아,국가
쿠바,국가
북미,국가
중동,국가
남아공,국가
유럽,국가
프랑스,국가
브라질,국가
말레이시아,국가
백신,질병
바이러스,질병
마스크,질병
확진자,질병
오미크론,질병
접종,질병
임상,질병
구제역,질병
감염증,질병
팬데,질병
양성,질병
변이,질병
방역,질병
치료제,질병
환자,질병
보건,질병
대유행,질병
코로나,질병
회복기,질병
질병,질병
발전소,환경
충전재,환경
천연자원,환경
해수,환경
풍력,환경
자외선,환경
온실가스,환경
나노,환경
유기농,환경
신기술,환경
에코,환경
오즌층,환경
자연,환경
환경,환경
음극,환경
양극,환경
중간재,환경
지구,환경
화력,환경
연료전지,환경
전극,환경
배터리,환경
탄소,환경
뉴딜,환경
생태,환경
이온,환경
하이브리드,환경
